repo,kind,routePath,file,lines,dynamicSegments,parallelSlot,hasGenerateStaticParams,gspCovered,useClient,useServerFile,useServerInline,nextHeadersImports,redirectCalls,redirectImportedFromNextNavigation,notFoundCalls,exportDynamic,exportRevalidate,exportRuntime,exportFetchCache,exportDynamicParams,usesUnstableCache,usesAfter,usesNoStoreOrConnection,readsSearchParamsProp,httpMethods,requestReads,apiFetchTargets,veridianCalls,importsNextIntlServer,reexportDefault,transitiveNextHeadersVia,transitiveUseServerVia,transitiveNextIntlServerVia,forceStatic,ownBlockers,inheritedBlockers,inheritedFrom,neutralizedByForceStatic,effectiveBlockers,exportable
compliance-tracker,page,/access-review/[id],src/app/(app)/access-review/[id]/page.tsx,95,[id],,false,false,true,false,false,,0,false,0,force-dynamic,,,,,false,false,false,false,,,/api/access-review/cycles/${id}|/api/access-review/cycles/${id}/certifications/${certId},,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|FORCE_DYNAMIC,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,DYNAMIC_SEGMENT_NO_GSP|FORCE_DYNAMIC|NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/access-review,src/app/(app)/access-review/page.tsx,98,,,false,true,true,false,false,,0,false,0,force-dynamic,,,,,false,false,false,false,,,/api/access-review/cycles,,false,false,,,,false,FORCE_DYNAMIC,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,FORCE_DYNAMIC|NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/ai-cost-governance,src/app/(app)/ai-cost-governance/page.tsx,335,,,false,true,true,false,false,,0,false,0,force-dynamic,,,,,false,false,false,false,,,/api/ai/team/token-usage?sinceDays=${sinceDays}|/api/finance/ai-cost-reconciliation,,false,false,,,,false,FORCE_DYNAMIC,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,FORCE_DYNAMIC|NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/ai-observability,src/app/(app)/ai-observability/page.tsx,329,,,false,true,true,false,false,,0,false,0,,,,,,false,false,false,false,,,/api/orchestra/traces?${params}|/api/orchestra/traces/${selectedId},,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/approvals,src/app/(app)/approvals/page.tsx,16,,,false,true,true,false,false,,0,false,0,,,,,,false,false,false,false,,,,,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/audit,src/app/(app)/audit/page.tsx,292,,,false,true,true,false,false,,0,false,0,,,,,,false,false,false,false,,,/api/audit?${params},,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/audit-engagements,src/app/(app)/audit-engagements/page.tsx,90,,,false,true,true,false,false,,0,false,0,,,,,,false,false,false,false,,,/api/audit-engagements|/api/audit-findings|/api/audit-findings/${id},,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/automation,src/app/(app)/automation/page.tsx,209,,,false,true,true,false,false,,0,false,0,force-dynamic,,,,,false,false,false,false,,,/api/automation-rules|/api/automation-rules/${rule.id}|/api/automation-rules/${ruleId},,false,false,,,,false,FORCE_DYNAMIC,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,FORCE_DYNAMIC|NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/bcm,src/app/(app)/bcm/page.tsx,233,,,false,true,true,false,false,,0,false,0,force-dynamic,,,,,false,false,false,false,,,/api/bcm|/api/bcm/${id}|/api/bcm/${selectedId}/bia|/api/bcm/${selectedId}/recovery-procedures|/api/bcm/${selectedId}/exercises,,false,false,,,,false,FORCE_DYNAMIC,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,FORCE_DYNAMIC|NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
compliance-tracker,page,/board,src/app/(app)/board/page.tsx,136,,,false,true,true,false,false,,0,false,0,,,,,,false,false,false,false,,,/api/board|/api/board/${id},,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,src/app/layout.tsx|src/app/(app)/layout.tsx,,NEXT_HEADERS_TRANSITIVE|SERVER_ACTION_TRANSITIVE,false
